energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,4.56935686,0.00468301,0.86940927,3.17398812,2.34787336,0.78910703,0.00000000
-5.99399700,4.53343678,0.00457949,0.86057197,3.16328316,2.32311443,0.78958645,0.00000000
-5.98799400,4.48642765,0.00446491,0.85048377,3.14236089,2.29310577,0.78691235,0.00000000
-5.98199100,4.42806676,0.00434069,0.83904652,3.11115326,2.25772161,0.78108293,0.00000000
-5.97598799,4.35845319,0.00420849,0.82622328,3.06984580,2.21702361,0.77216953,0.00000000
-5.96998499,4.27802619,0.00407014,0.81203520,3.01886052,2.17124977,0.76031079,0.00000000
-5.96398199,4.18753333,0.00392756,0.79655666,2.95883240,2.12079768,0.74570506,0.00000000
-5.95797899,4.08799075,0.00378273,0.77990916,2.89058095,2.06620348,0.72860161,0.00000000
-5.95197599,3.98063824,0.00363757,0.76225454,2.81507855,2.00811791,0.70929085,0.00000000
-5.94597299,3.86689177,0.00349393,0.74378781,2.73341724,1.94728081,0.68809439,0.00000000
-5.93996998,3.74829622,0.00335352,0.72473019,2.64677572,1.88449578,0.66535507,0.00000000
-5.93396698,3.62648043,0.00321789,0.70532271,2.55638778,1.82060599,0.64142762,0.00000000
-5.92796398,3.50311678,0.00308839,0.68582059,2.46351352,1.75647244,0.61667024,0.00000000
-5.92196098,3.37988633,0.00296617,0.66648854,2.36941406,1.69295535,0.59143725,0.00000000
-5.91595798,3.25845048,0.00285220,0.64759722,2.27533026,1.63089909,0.56607322,0.00000000
-5.90995498,3.14042923,0.00274727,0.62942047,2.18246552,1.57112093,0.54090833,0.00000000
-5.90395198,3.02738550,0.00265201,0.61223346,2.09197250,1.51440314,0.51625518,0.00000000
-5.89794897,2.92081462,0.00256693,0.59631125,2.00494312,1.46148814,0.49240677,0.00000000
-5.89194597,2.82213770,0.00249247,0.58192762,1.92240130,1.41307595,0.46963548,0.00000000
-5.88594297,2.73269719,0.00242902,0.56935375,1.84529737,1.36982300,0.44819276,0.00000000
-5.87993997,2.65375312,0.00237697,0.55885647,1.77450355,1.33234150,0.42830934,0.00000000
-5.87393697,2.58647842,0.00233674,0.55069576,1.71080937,1.30119845,0.41019560,0.00000000
-5.86793397,2.53195208,0.00230878,0.54512133,1.65491661,1.27691360,0.39404175,0.00000000
-5.86193097,2.49114904,0.00229365,0.54236811,1.60743312,1.25995566,0.38001792,0.00000000
-5.85592796,2.46492659,0.00229198,0.54265075,1.56886522,1.25073663,0.36827357,0.00000000
-5.84992496,2.45400687,0.00230449,0.54615701,1.53960883,1.24960398,0.35893655,0.00000000
-5.84392196,2.45895633,0.00233199,0.55304044,1.51993950,1.25683099,0.35211158,0.00000000
-5.83791896,2.48016271,0.00237536,0.56341257,1.51000178,1.27260572,0.34787819,0.00000000
-5.83191596,2.51781118,0.00243555,0.57733497,1.50979878,1.29701906,0.34628854,0.00000000
-5.82591296,2.57186094,0.00251353,0.59481159,1.51918262,1.33005300,0.34736492,0.00000000
-5.81990995,2.64202426,0.00261030,0.61578191,1.53784669,1.37156974,0.35109757,0.00000000
-5.81390695,2.72774960,0.00272684,0.64011529,1.56532071,1.42130272,0.35744276,0.00000000
-5.80790395,2.82821072,0.00286409,0.66760697,1.60096928,1.47885057,0.36632157,0.00000000
-5.80190095,2.94230303,0.00302294,0.69797614,1.64399478,1.54367457,0.37761954,0.00000000
-5.79589795,3.06864859,0.00320422,0.73086627,1.69344501,1.61510043,0.39118741,0.00000000
-5.78989495,3.20561038,0.00340866,0.76584800,1.74822589,1.69232477,0.40684307,0.00000000
-5.78389195,3.35131624,0.00363691,0.80242473,1.80711928,1.77442647,0.42437480,0.00000000
-5.77788894,3.50369231,0.00388953,0.84004070,1.86880566,1.86038290,0.44354575,0.00000000
-5.77188594,3.66050526,0.00416700,0.87809167,1.93189117,1.94909054,0.46409973,0.00000000
-5.76588294,3.81941221,0.00446971,0.91593777,1.99493829,2.03938971,0.48576793,0.00000000
-5.75987994,3.97801682,0.00479800,0.95291833,2.05649932,2.13009231,0.50827655,0.00000000
-5.75387694,4.13392968,0.00515217,0.98836808,2.11515137,2.22001184,0.53135486,0.00000000
-5.74787394,4.28483080,0.00553247,1.02163437,2.16953197,2.30799445,0.55474358,0.00000000
-5.74187094,4.42853202,0.00593916,1.05209475,2.21837377,2.39295005,0.57820300,0.00000000
-5.73586793,4.56303685,0.00637249,1.07917432,2.26053728,2.47388199,0.60152063,0.00000000
-5.72986493,4.68659562,0.00683273,1.10236228,2.29504049,2.54991438,0.62451797,0.00000000
-5.72386193,4.79775359,0.00732017,1.12122695,2.32108407,2.62031585,0.64705605,0.00000000
-5.71785893,4.89539019,0.00783513,1.13542887,2.33807157,2.68451875,0.66903945,0.00000000
-5.71185593,4.97874781,0.00837793,1.14473119,2.34562364,2.74213311,0.69041869,0.00000000
-5.70585293,5.04744876,0.00894887,1.14900722,2.34358575,2.79295452,0.71119063,0.00000000
-5.69984992,5.10149978,0.00954821,1.14824447,2.33202937,2.83696586,0.73139697,0.00000000
-5.69384692,5.14128355,0.01017611,1.14254520,2.31124623,2.87433242,0.75112078,0.00000000
-5.68784392,5.16753756,0.01083255,1.13212323,2.28173609,2.90539074,0.77048114,0.00000000
-5.68184092,5.18132074,0.01151731,1.11729702,2.24418844,2.93063143,0.78962608,0.00000000
-5.67583792,5.18396921,0.01222980,1.09847940,2.19945865,2.95067651,0.80872402,0.00000000
-5.66983492,5.17704241,0.01296902,1.07616396,2.14853954,2.96625211,0.82795406,0.00000000
-5.66383192,5.16226178,0.01373343,1.05090887,2.09252939,2.97815755,0.84749550,0.00000000
-5.65782891,5.14144402,0.01452083,1.02331850,2.03259745,2.98723180,0.86751685,0.00000000
-5.65182591,5.11643156,0.01532827,0.99402361,1.96994817,2.99431864,0.88816496,0.00000000
-5.64582291,5.08902280,0.01615195,0.96366083,1.90578558,3.00023188,0.90955460,0.00000000
-5.63981991,5.06090474,0.01698712,0.93285234,1.84127883,3.00572177,0.93175891,0.00000000
-5.63381691,5.03359068,0.01782805,0.90218631,1.77753017,3.01144414,0.95480130,0.00000000
-5.62781391,5.00836533,0.01866799,0.87219914,1.71554656,3.01793324,0.97864900,0.00000000
-5.62181091,4.98623966,0.01949919,0.84336005,1.65621559,3.02557959,1.00320869,0.00000000
-5.61580790,4.96791700,0.02031299,0.81605858,1.60028668,3.03461349,1.02832453,0.00000000
-5.60980490,4.95377201,0.02109988,0.79059562,1.54835787,3.04509512,1.05377868,0.00000000
-5.60380190,4.94384316,0.02184972,0.76717808,1.50086868,3.05691154,1.07929448,0.00000000
-5.59779890,4.93783901,0.02255194,0.74591752,1.45809883,3.06978071,1.10454221,0.00000000
-5.59179590,4.93515808,0.02319580,0.72683249,1.42017283,3.08326261,1.12914737,0.00000000
-5.58579290,4.93492126,0.02377072,0.70985459,1.38706988,3.09677686,1.15270126,0.00000000
-5.57978989,4.93601547,0.02426659,0.69483763,1.35863846,3.10962622,1.17477343,0.00000000
-5.57378689,4.93714657,0.02467417,0.68156961,1.33461480,3.12102517,1.19492568,0.00000000
-5.56778389,4.93689934,0.02498541,0.66978666,1.31464430,3.13013224,1.21272706,0.00000000
-5.56178089,4.93380186,0.02519387,0.65918850,1.29830488,3.13608489,1.22776919,0.00000000
-5.55577789,4.92639160,0.02529499,0.64945439,1.28513127,3.13803552,1.23968154,0.00000000
-5.54977489,4.91328038,0.02528642,0.64025917,1.27463902,3.13518715,1.24814567,0.00000000
-5.54377189,4.89321560,0.02516822,0.63128832,1.26634751,3.12682718,1.25290822,0.00000000
-5.53776888,4.86513504,0.02494304,0.62225182,1.25980092,3.11235807,1.25379181,0.00000000
-5.53176588,4.82821331,0.02461619,0.61289595,1.25458639,3.09132352,1.25070341,0.00000000
-5.52576288,4.78189791,0.02419565,0.60301276,1.25034892,3.06342916,1.24363990,0.00000000
-5.51975988,4.72593375,0.02369194,0.59244699,1.24680241,3.02855696,1.23269046,0.00000000
-5.51375688,4.66037523,0.02311796,0.58110019,1.24373673,2.98677280,1.21803563,0.00000000
-5.50775388,4.58558575,0.02248870,0.56893203,1.24102062,2.93832698,1.19994305,0.00000000
-5.50175088,4.50222475,0.02182089,0.55595905,1.23860059,2.88364761,1.17876012,0.00000000
-5.49574787,4.41122325,0.02113258,0.54225085,1.23649592,2.82332740,1.15490360,0.00000000
-5.48974487,4.31374887,0.02044268,0.52792426,1.23479027,2.75810428,1.12884683,0.00000000
-5.48374187,4.21116224,0.01977044,0.51313569,1.23362026,2.68883679,1.10110478,0.00000000
-5.47773887,4.10496635,0.01913489,0.49807217,1.23316157,2.61647521,1.07221769,0.00000000
-5.47173587,3.99675125,0.01855435,0.48294153,1.23361320,2.54202978,1.04273378,0.00000000
-5.46573287,3.88813619,0.01804584,0.46796212,1.23518071,2.46653699,1.01319173,0.00000000
-5.45972986,3.78071152,0.01762462,0.45335260,1.23805880,2.39102563,0.98410361,0.00000000
-5.45372686,3.67598266,0.01730368,0.43932209,1.24241439,2.31648370,0.95593876,0.00000000
-5.44772386,3.57531812,0.01709336,0.42606110,1.24837050,2.24382749,0.92910934,0.00000000
-5.44172086,3.47990367,0.01700098,0.41373368,1.25599191,2.17387409,0.90395796,0.00000000
-5.43571786,3.39070416,0.01703057,0.40247072,1.26527311,2.10731825,0.88074788,0.00000000
-5.42971486,3.30843455,0.01718271,0.39236503,1.27612908,2.04471451,0.85965611,0.00000000
-5.42371186,3.23354099,0.01745439,0.38346795,1.28838952,1.98646510,0.84076958,0.00000000
-5.41770885,3.16619269,0.01783906,0.37578773,1.30179675,1.93281422,0.82408460,0.00000000
-5.41170585,3.10628473,0.01832673,0.36928978,1.31600758,1.88384857,0.80950958,0.00000000
-5.40570285,3.05345167,0.01890418,0.36389843,1.33059928,1.83950418,0.79687082,0.00000000
-5.39969985,3.00709121,0.01955525,0.35950047,1.34507946,1.79957908,0.78592126,0.00000000
-5.39369685,2.96639701,0.02026130,0.35594995,1.35889966,1.76375115,0.77635182,0.00000000
-5.38769385,2.93039913,0.02100164,0.35307424,1.37147220,1.73160035,0.76780479,0.00000000
-5.38169085,2.89801035,0.02175417,0.35068104,1.38218967,1.70263418,0.75988896,0.00000000
-5.37568784,2.86807643,0.02249594,0.34856598,1.39044626,1.67631533,0.75219574,0.00000000
-5.36968484,2.83942805,0.02320387,0.34652060,1.39566006,1.65208997,0.74431572,0.00000000
-5.36368184,2.81093219,0.02385541,0.34434028,1.39729538,1.62941568,0.73585502,0.00000000
-5.35767884,2.78154070,0.02442919,0.34183188,1.39488401,1.60778744,0.72645085,0.00000000
-5.35167584,2.75033393,0.02490574,0.33882072,1.38804445,1.58676070,0.71578561,0.00000000
-5.34567284,2.71655754,0.02526801,0.33515668,1.37649824,1.56597045,0.70359901,0.00000000
-5.33966983,2.67965105,0.02550193,0.33071910,1.36008245,1.54514540,0.68969787,0.00000000
-5.33366683,2.63926685,0.02559679,0.32542037,1.33875779,1.52411693,0.67396310,0.00000000
-5.32766383,2.59527929,0.02554557,0.31920809,1.31261195,1.50282243,0.65635384,0.00000000
-5.32166083,2.54778354,0.02534511,0.31206568,1.28185789,1.48130318,0.63690847,0.00000000
-5.31565783,2.49708485,0.02499612,0.30401152,1.24682722,1.45969712,0.61574273,0.00000000
-5.30965483,2.44367895,0.02450313,0.29509668,1.20795900,1.43822716,0.59304501,0.00000000
-5.30365183,2.38822514,0.02387421,0.28540149,1.16578453,1.41718601,0.56906916,0.00000000
-5.29764882,2.33151362,0.02312066,0.27503099,1.12090881,1.39691844,0.54412519,0.00000000
-5.29164582,2.27442909,0.02225658,0.26410969,1.07398972,1.37780223,0.51856835,0.00000000
-5.28564282,2.21791261,0.02129830,0.25277579,1.02571590,1.36022897,0.49278703,0.00000000
-5.27963982,2.16292377,0.02026381,0.24117528,0.97678428,1.34458574,0.46719003,0.00000000
-5.27363682,2.11040493,0.01917220,0.22945608,0.92787842,1.33123882,0.44219380,0.00000000
-5.26763382,2.06124934,0.01804297,0.21776263,0.87964864,1.32051996,0.41820991,0.00000000
-5.26163082,2.01627409,0.01689548,0.20623100,0.83269456,1.31271599,0.39563335,0.00000000
-5.25562781,1.97619903,0.01574836,0.19498491,0.78755087,1.30806185,0.37483191,0.00000000
-5.24962481,1.94163180,0.01461906,0.18413254,0.74467672,1.30673719,0.35613684,0.00000000
-5.24362181,1.91305910,0.01352340,0.17376448,0.70444890,1.30886608,0.33983512,0.00000000
-5.23761881,1.89084374,0.01247526,0.16395260,0.66715882,1.31451955,0.32616320,0.00000000
-5.23161581,1.87522660,0.01148635,0.15474991,0.63301306,1.32372012,0.31530243,0.00000000
-5.22561281,1.86633271,0.01056605,0.14619132,0.60213726,1.33644771,0.30737600,0.00000000
-5.21960980,1.86418012,0.00972137,0.13829512,0.57458254,1.35264595,0.30244743,0.00000000
-5.21360680,1.86869050,0.00895701,0.13106508,0.55033416,1.37222830,0.30052036,0.00000000
-5.20760380,1.87970034,0.00827542,0.12449292,0.52932152,1.39508325,0.30153965,0.00000000
-5.20160080,1.89697172,0.00767703,0.11856101,0.51142894,1.42107806,0.30539359,0.00000000
-5.19559780,1.92020205,0.00716044,0.11324514,0.49650658,1.45006074,0.31191720,0.00000000
-5.18959480,1.94903208,0.00672268,0.10851717,0.48438088,1.48186017,0.32089640,0.00000000
-5.18359180,1.98305210,0.00635949,0.10434742,0.47486420,1.51628448,0.33207311,0.00000000
-5.17758879,2.02180632,0.00606563,0.10070670,0.46776300,1.55311793,0.34515108,0.00000000
-5.17158579,2.06479568,0.00583512,0.09756793,0.46288470,1.59211672,0.35980248,0.00000000
-5.16558279,2.11147946,0.00566158,0.09490724,0.46004278,1.63300435,0.37567510,0.00000000
-5.15957979,2.16127631,0.00553841,0.09270457,0.45906021,1.67546715,0.39240006,0.00000000
-5.15357679,2.21356532,0.00545906,0.09094386,0.45977133,1.71915048,0.40959999,0.00000000
-5.14757379,2.26768754,0.00541720,0.08961268,0.46202225,1.76365630,0.42689736,0.00000000
-5.14157079,2.32294862,0.00540688,0.08870153,0.46566993,1.80854254,0.44392297,0.00000000
-5.13556778,2.37862289,0.00542265,0.08820286,0.47058036,1.85332453,0.46032415,0.00000000
-5.12956478,2.43395911,0.00545959,0.08810975,0.47662584,1.89747887,0.47577270,0.00000000
-5.12356178,2.48818793,0.00551341,0.08841456,0.48368181,1.94044963,0.48997198,0.00000000
-5.11755878,2.54053112,0.00558042,0.08910744,0.49162350,1.98165675,0.50266326,0.00000000
-5.11155578,2.59021226,0.00565748,0.09017489,0.50032247,2.02050660,0.51363081,0.00000000
-5.10555278,2.63646863,0.00574200,0.09159845,0.50964342,2.05640402,0.52270565,0.00000000
-5.09954977,2.67856390,0.00583179,0.09335361,0.51944150,2.08876570,0.52976786,0.00000000
-5.09354677,2.71580126,0.00592502,0.09540885,0.52956015,2.11703419,0.53474728,0.00000000
-5.08754377,2.74753657,0.00602012,0.09772520,0.53982976,2.14069214,0.53762267,0.00000000
-5.08154077,2.77319105,0.00611563,0.10025595,0.55006722,2.15927621,0.53841929,0.00000000
-5.07553777,2.79226328,0.00621016,0.10294687,0.56007644,2.17239014,0.53720523,0.00000000
-5.06953477,2.80434009,0.00630228,0.10573682,0.56965001,2.17971663,0.53408645,0.00000000
-5.06353177,2.80910619,0.00639044,0.10855869,0.57857175,2.18102754,0.52920106,0.00000000
-5.05752876,2.80635220,0.00647294,0.11134078,0.58662051,2.17619209,0.52271288,0.00000000
-5.05152576,2.79598093,0.00654794,0.11400846,0.59357473,2.16518289,0.51480473,0.00000000
-5.04552276,2.77801180,0.00661338,0.11648618,0.59921792,2.14807945,0.50567179,0.00000000
-5.03951976,2.75258306,0.00666711,0.11869963,0.60334477,2.12506907,0.49551509,0.00000000
-5.03351676,2.71995191,0.00670689,0.12057804,0.60576760,2.09644502,0.48453572,0.00000000
-5.02751376,2.68049207,0.00673047,0.12205651,0.60632298,2.06260192,0.47292957,0.00000000
-5.02151076,2.63468889,0.00673570,0.12307832,0.60487814,2.02402844,0.46088298,0.00000000
-5.01550775,2.58313181,0.00672062,0.12359701,0.60133690,1.98129719,0.44856934,0.00000000
-5.00950475,2.52650412,0.00668359,0.12357823,0.59564473,1.93505229,0.43614648,0.00000000
-5.00350175,2.46557004,0.00662334,0.12300125,0.58779274,1.88599449,0.42375503,0.00000000
-4.99749875,2.40115930,0.00653913,0.12185998,0.57782023,1.83486454,0.41151753,0.00000000
-4.99149575,2.33414937,0.00643078,0.12016359,0.56581570,1.78242492,0.39953815,0.00000000
-4.98549275,2.26544583,0.00629874,0.11793656,0.55191610,1.72944065,0.38790305,0.00000000
-4.97948974,2.19596120,0.00614410,0.11521819,0.53630432,1.67665971,0.37668106,0.00000000
-4.97348674,2.12659303,0.00596862,0.11206159,0.51920495,1.62479359,0.36592465,0.00000000
-4.96748374,2.05820188,0.00577468,0.10853216,0.50087841,1.57449884,0.35567117,0.00000000
-4.96148074,1.99158988,0.00556524,0.10470566,0.48161370,1.52636012,0.34594401,0.00000000
-4.95547774,1.92748085,0.00534372,0.10066589,0.46172001,1.48087553,0.33675399,0.00000000
-4.94947474,1.86650270,0.00511394,0.09650208,0.44151756,1.43844472,0.32810057,0.00000000
-4.94347174,1.80917277,0.00487997,0.09230610,0.42132801,1.39936031,0.31997313,0.00000000
-4.93746873,1.75588688,0.00464600,0.08816963,0.40146488,1.36380297,0.31235224,0.00000000
-4.93146573,1.70691249,0.00441623,0.08418130,0.38222434,1.33184050,0.30521080,0.00000000
-4.92546273,1.66238630,0.00419468,0.08042400,0.36387674,1.30343077,0.29851529,0.00000000
-4.91945973,1.62231645,0.00398513,0.07697240,0.34665920,1.27842860,0.29222693,0.00000000
-4.91345673,1.58658918,0.00379093,0.07389075,0.33076958,1.25659625,0.28630287,0.00000000
-4.90745373,1.55497971,0.00361495,0.07123114,0.31636195,1.23761714,0.28069736,0.00000000
-4.90145073,1.52716688,0.00345952,0.06903205,0.30354375,1.22111214,0.27536290,0.00000000
-4.89544772,1.50275100,0.00332630,0.06731751,0.29237471,1.20665798,0.27025141,0.00000000
-4.88944472,1.48127400,0.00321633,0.06609665,0.28286740,1.19380686,0.26531525,0.00000000
-4.88344172,1.46224133,0.00312997,0.06536378,0.27498952,1.18210663,0.26050832,0.00000000
-4.87743872,1.44514457,0.00306697,0.06509895,0.26866753,1.17112074,0.25578696,0.00000000
-4.87143572,1.42948395,0.00302645,0.06526890,0.26379169,1.16044721,0.25111088,0.00000000
-4.86543272,1.41479002,0.00300703,0.06582855,0.26022205,1.14973596,0.24644401,0.00000000
-4.85942971,1.40064364,0.00300685,0.06672274,0.25779528,1.13870393,0.24175526,0.00000000
-4.85342671,1.38669379,0.00302368,0.06788830,0.25633200,1.12714750,0.23701930,0.00000000
-4.84742371,1.37267236,0.00305505,0.06925636,0.25564433,1.11495175,0.23221736,0.00000000
-4.84142071,1.35840589,0.00309830,0.07075484,0.25554341,1.10209650,0.22733794,0.00000000
-4.83541771,1.34382355,0.00315072,0.07231094,0.25584658,1.08865870,0.22237768,0.00000000
-4.82941471,1.32896151,0.00320963,0.07385367,0.25638409,1.07481153,0.21734224,0.00000000
-4.82341171,1.31396342,0.00327248,0.07531630,0.25700495,1.06081992,0.21224713,0.00000000
-4.81740870,1.29907719,0.00333692,0.07663856,0.25758196,1.04703304,0.20711868,0.00000000
-4.81140570,1.28464817,0.00340087,0.07776865,0.25801552,1.03387382,0.20199488,0.00000000
-4.80540270,1.27110901,0.00346255,0.07866487,0.25823640,1.02182603,0.19692621,0.00000000
-4.79939970,1.25896666,0.00352051,0.07929694,0.25820718,1.01141929,0.19197628,0.00000000
-4.79339670,1.24878678,0.00357368,0.07964682,0.25792245,1.00321263,0.18722221,0.00000000
-4.78739370,1.24117632,0.00362128,0.07970915,0.25740782,0.99777707,0.18275478,0.00000000
-4.78139070,1.23676460,0.00366287,0.07949116,0.25671773,0.99567786,0.17867808,0.00000000
-4.77538769,1.23618376,0.00369828,0.07901218,0.25593226,0.99745700,0.17510875,0.00000000
-4.76938469,1.24004909,0.00372753,0.07830267,0.25515298,1.00361657,0.17217461,0.00000000
-4.76338169,1.24893983,0.00375083,0.07740295,0.25449808,1.01460348,0.17001275,0.00000000
-4.75737869,1.26338124,0.00376845,0.07636148,0.25409705,1.03079613,0.16876695,0.00000000
-4.75137569,1.28382833,0.00378072,0.07523294,0.25408487,1.05249339,0.16858451,0.00000000
-4.74537269,1.31065178,0.00378791,0.07407612,0.25459618,1.07990616,0.16961246,0.00000000
-4.73936968,1.34412649,0.00379023,0.07295170,0.25575948,1.11315188,0.17199326,0.00000000
-4.73336668,1.38442290,0.00378777,0.07191995,0.25769163,1.15225182,0.17586004,0.00000000
-4.72736368,1.43160132,0.00378045,0.07103853,0.26049273,1.19713132,0.18133150,0.00000000
-4.72136068,1.48560912,0.00376807,0.07036043,0.26424168,1.24762269,0.18850669,0.00000000
-4.71535768,1.54628088,0.00375025,0.06993205,0.26899239,1.30347044,0.19745971,0.00000000
-4.70935468,1.61334106,0.00372649,0.06979155,0.27477084,1.36433851,0.20823467,0.00000000
-4.70335168,1.68640895,0.00369621,0.06996754,0.28157302,1.42981911,0.22084098,0.00000000
-4.69734867,1.76500571,0.00365878,0.07047807,0.28936382,1.49944252,0.23524930,0.00000000
-4.69134567,1.84856283,0.00361358,0.07132997,0.29807686,1.57268758,0.25138825,0.00000000
-4.68534267,1.93643203,0.00356004,0.07251862,0.30761527,1.64899224,0.26914223,0.00000000
-4.67933967,2.02789605,0.00349776,0.07402805,0.31785346,1.72776410,0.28835036,0.00000000
-4.67333667,2.12218023,0.00342650,0.07583139,0.32863970,1.80839033,0.30880687,0.00000000
-4.66733367,2.21846477,0.00334628,0.07789180,0.33979960,1.89024721,0.33026295,0.00000000
-4.66133067,2.31589754,0.00325739,0.08016355,0.35114037,1.97270888,0.35243013,0.00000000
-4.65532766,2.41360746,0.00316044,0.08259355,0.36245577,2.05515573,0.37498532,0.00000000
-4.64932466,2.51071859,0.00305637,0.08512304,0.37353160,2.13698220,0.39757730,0.00000000
-4.64332166,2.60636475,0.00294643,0.08768948,0.38415169,2.21760445,0.41983465,0.00000000
-4.63731866,2.69970485,0.00283220,0.09022869,0.39410424,2.29646789,0.44137491,0.00000000
-4.63131566,2.78993873,0.00271552,0.09267690,0.40318821,2.37305475,0.46181463,0.00000000
-4.62531266,2.87632327,0.00259849,0.09497297,0.41121976,2.44689175,0.48078014,0.00000000
-4.61930965,2.95818854,0.00248336,0.09706042,0.41803845,2.51755766,0.49791853,0.00000000
-4.61330665,3.03495328,0.00237252,0.09888945,0.42351288,2.58469081,0.51290846,0.00000000
-4.60730365,3.10613925,0.00226840,0.10041864,0.42754573,2.64799591,0.52547042,0.00000000
-4.60130065,3.17138360,0.00217342,0.10161648,0.43007792,2.70724999,0.53537603,0.00000000
-4.59529765,3.23044850,0.00208989,0.10246246,0.43109154,2.76230678,0.54245579,0.00000000
-4.58929465,3.28322718,0.00201996,0.10294787,0.43061163,2.81309914,0.54660518,0.00000000
-4.58329165,3.32974575,0.00196558,0.10307615,0.42870643,2.85963886,0.54778864,0.00000000
-4.57728864,3.37016012,0.00192836,0.10286274,0.42548617,2.90201349,0.54604119,0.00000000
-4.57128564,3.40474777,0.00190962,0.10233461,0.42110030,2.94037996,0.54146777,0.00000000
-4.56528264,3.43389428,0.00191028,0.10152922,0.41573321,2.97495479,0.53424000,0.00000000
-4.55927964,3.45807493,0.00193086,0.10049314,0.40959851,3.00600128,0.52459068,0.00000000
-4.55327664,3.47783189,0.00197145,0.09928040,0.40293208,3.03381383,0.51280612,0.00000000
-4.54727364,3.49374809,0.00203170,0.09795036,0.39598418,3.05870035,0.49921657,0.00000000
-4.54127064,3.50641895,0.00211082,0.09656559,0.38901073,3.08096352,0.48418522,0.00000000
-4.53526763,3.51642341,0.00220760,0.09518950,0.38226430,3.10088204,0.46809614,0.00000000
-4.52926463,3.52429594,0.00232043,0.09388399,0.37598505,3.11869312,0.45134161,0.00000000
-4.52326163,3.53050122,0.00244730,0.09270718,0.37039205,3.13457732,0.43430951,0.00000000
-4.51725863,3.53541295,0.00258591,0.09171134,0.36567536,3.14864712,0.41737108,0.00000000
-4.51125563,3.53929831,0.00273366,0.09094098,0.36198916,3.16093988,0.40086967,0.00000000
-4.50525263,3.54230912,0.00288771,0.09043144,0.35944637,3.17141634,0.38511087,0.00000000
-4.49924962,3.54448040,0.00304509,0.09020770,0.35811489,3.17996464,0.37035442,0.00000000
-4.49324662,3.54573671,0.00320271,0.09028379,0.35801570,3.18641038,0.35680813,0.00000000
-4.48724362,3.54590592,0.00335748,0.09066253,0.35912302,3.19053193,0.34462405,0.00000000
-4.48124062,3.54473987,0.00350635,0.09133584,0.36136635,3.19208065,0.33389701,0.00000000
-4.47523762,3.54194082,0.00364641,0.09228549,0.36463452,3.19080472,0.32466543,0.00000000
-4.46923462,3.53719203,0.00377492,0.09348420,0.36878150,3.18647531,0.31691439,0.00000000
-4.46323162,3.53019086,0.00388941,0.09489720,0.37363372,3.17891351,0.31058068,0.00000000
-4.45722861,3.52068237,0.00398775,0.09648399,0.37899858,3.16801630,0.30555963,0.00000000
-4.45122561,3.50849119,0.00406814,0.09820036,0.38467379,3.15377992,0.30171320,0.00000000
-4.44522261,3.49354995,0.00412920,0.10000055,0.39045715,3.13631901,0.29887915,0.00000000
-4.43921961,3.47592215,0.00416998,0.10183928,0.39615615,3.11588014,0.29688064,0.00000000
-4.43321661,3.45581812,0.00418997,0.10367386,0.40159713,3.09284861,0.29553592,0.00000000
-4.42721361,3.43360278,0.00418910,0.10546602,0.40663338,3.06774779,0.29466761,0.00000000
-4.42121061,3.40979443,0.00416772,0.10718343,0.41115192,3.04123059,0.29411123,0.00000000
-4.41520760,3.38505445,0.00412657,0.10880093,0.41507848,3.01406330,0.29372251,0.00000000
-4.40920460,3.36016791,0.00406676,0.11030132,0.41838045,2.98710207,0.29338322,0.00000000
-4.40320160,3.33601604,0.00398969,0.11167570,0.42106769,2.96126317,0.29300532,0.00000000
-4.39719860,3.31354154,0.00389702,0.11292332,0.42319110,2.93748813,0.29253320,0.00000000
-4.39119560,3.29370833,0.00379058,0.11405103,0.42483885,2.91670535,0.29194411,0.00000000
-4.38519260,3.27745765,0.00367233,0.11507217,0.42613073,2.89978996,0.29124667,0.00000000
-4.37918959,3.26566248,0.00354430,0.11600528,0.42721061,2.88752371,0.29047764,0.00000000
-4.37318659,3.25908247,0.00340849,0.11687231,0.42823747,2.88055683,0.28969730,0.00000000
-4.36718359,3.25832155,0.00326685,0.11769676,0.42937554,2.87937361,0.28898351,0.00000000
-4.36118059,3.26379039,0.00312123,0.11850165,0.43078387,2.88426341,0.28842495,0.00000000
-4.35517759,3.27567534,0.00297334,0.11930751,0.43260604,2.89529840,0.28811394,0.00000000
-4.34917459,3.29391569,0.00282468,0.12013049,0.43496038,2.91231931,0.28813902,0.00000000
-4.34317159,3.31819031,0.00267659,0.12098071,0.43793141,2.93492973,0.28857805,0.00000000
-4.33716858,3.34791452,0.00253019,0.12186088,0.44156276,2.96249960,0.28949178,0.00000000
-4.33116558,3.38224751,0.00238639,0.12276536,0.44585211,2.99417763,0.29091858,0.00000000
-4.32516258,3.42011032,0.00224594,0.12367968,0.45074830,3.02891253,0.29287036,0.00000000
-4.31915958,3.46021361,0.00210936,0.12458054,0.45615098,3.06548202,0.29532997,0.00000000
-4.31315658,3.50109434,0.00197706,0.12543630,0.46191261,3.10252876,0.29825014,0.00000000
-4.30715358,3.54116001,0.00184928,0.12620796,0.46784287,3.13860173,0.30155410,0.00000000
-4.30115058,3.57873848,0.00172618,0.12685060,0.47371531,3.17220138,0.30513765,0.00000000
