energy_ev,total_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,1.93810518,0.09087039,0.00000000,0.03266867,1.29758574,0.92345176,0.67281470
-5.99399700,1.96885920,0.09070192,0.00000000,0.03249386,1.32489563,0.94927879,0.68453672
-5.98799400,2.00461839,0.09065185,0.00000000,0.03224426,1.35597210,0.97786397,0.69827451
-5.98199100,2.04542816,0.09072683,0.00000000,0.03191879,1.39082468,1.00918161,0.71404690
-5.97598799,2.09119152,0.09093090,0.00000000,0.03151762,1.42935580,1.04313449,0.73181681
-5.96998499,2.14166296,0.09126501,0.00000000,0.03104208,1.47135667,1.07955090,0.75148966
-5.96398199,2.19644709,0.09172664,0.00000000,0.03049463,1.51650713,1.11818405,0.77291379
-5.95797899,2.25500289,0.09230941,0.00000000,0.02987865,1.56437948,1.15871440,0.79588286
-5.95197599,2.31665339,0.09300295,0.00000000,0.02919838,1.61444664,1.20075472,0.82014042
-5.94597299,2.38060104,0.09379286,0.00000000,0.02845872,1.66609440,1.24385813,0.84538642
-5.93996998,2.44594821,0.09466085,0.00000000,0.02766515,1.71863753,1.28752876,0.87128553
-5.93396698,2.51172229,0.09558509,0.00000000,0.02682351,1.77133917,1.33123481,0.89747706
-5.92796398,2.57690442,0.09654072,0.00000000,0.02593999,1.82343284,1.37442350,0.92358594
-5.92196098,2.64046085,0.09750053,0.00000000,0.02502098,1.87414619,1.41653733,0.94923446
-5.91595798,2.70137546,0.09843581,0.00000000,0.02407303,1.92272546,1.45703102,0.97405425
-5.90995498,2.75868226,0.09931728,0.00000000,0.02310283,1.96845969,1.49538835,0.99769787
-5.90395198,2.81149637,0.10011610,0.00000000,0.02211715,2.01070355,1.53113814,1.01984976
-5.89794897,2.85904213,0.10080495,0.00000000,0.02112288,2.04889782,1.56386883,1.04023582
-5.89194597,2.90067726,0.10135901,0.00000000,0.02012695,2.08258673,1.59324079,1.05863135
-5.88594297,2.93591187,0.10175694,0.00000000,0.01913639,2.11143128,1.61899602,1.07486707
-5.87993997,2.96442173,0.10198171,0.00000000,0.01815829,2.13521814,1.64096473,1.08883290
-5.87393697,2.98605517,0.10202124,0.00000000,0.01719975,2.15386372,1.65906857,1.10047936
-5.86793397,3.00083351,0.10186886,0.00000000,0.01626784,2.16741339,1.67332047,1.10981678
-5.86193097,3.00894505,0.10152359,0.00000000,0.01536956,2.17603585,1.68382099,1.11691212
-5.85592796,3.01073302,0.10099007,0.00000000,0.01451168,2.18001322,1.69075163,1.12188380
-5.84992496,3.00667812,0.10027835,0.00000000,0.01370074,2.17972701,1.69436518,1.12489480
-5.84392196,2.99737647,0.09940337,0.00000000,0.01294282,2.17564100,1.69497381,1.12614425
-5.83791896,2.98351398,0.09838421,0.00000000,0.01224351,2.16828156,1.69293524,1.12585796
-5.83191596,2.96583825,0.09724327,0.00000000,0.01160774,2.15821630,1.68863773,1.12427839
-5.82591296,2.94512919,0.09600515,0.00000000,0.01103964,2.14603203,1.68248451,1.12165433
-5.81990995,2.92216955,0.09469556,0.00000000,0.01054246,2.13231287,1.67487817,1.11823078
-5.81390695,2.89771657,0.09334014,0.00000000,0.01011847,2.11761920,1.66620590,1.11423954
-5.80790395,2.87247572,0.09196334,0.00000000,0.00976887,2.10246856,1.65682582,1.10989062
-5.80190095,2.84707769,0.09058734,0.00000000,0.00949376,2.08731880,1.64705524,1.10536506
-5.79589795,2.82205929,0.08923119,0.00000000,0.00929212,2.07255444,1.63716105,1.10080919
-5.78989495,2.79784907,0.08791005,0.00000000,0.00916179,2.05847641,1.62735277,1.09633074
-5.78389195,2.77475810,0.08663476,0.00000000,0.00909958,2.04529561,1.61777835,1.09199666
-5.77788894,2.75297616,0.08541157,0.00000000,0.00910129,2.03313056,1.60852296,1.08783306
-5.77188594,2.73257349,0.08424219,0.00000000,0.00916184,2.02200892,1.59961065,1.08382683
-5.76588294,2.71350779,0.08312415,0.00000000,0.00927545,2.01187303,1.59100895,1.07992925
-5.75987994,2.69563636,0.08205129,0.00000000,0.00943576,2.00258896,1.58263591,1.07606108
-5.75387694,2.67873252,0.08101463,0.00000000,0.00963603,1.99395886,1.57436946,1.07211911
-5.74787394,2.66250571,0.08000325,0.00000000,0.00986942,1.98573579,1.56605856,1.06798380
-5.74187094,2.64662434,0.07900543,0.00000000,0.01012912,1.97764069,1.55753549,1.06352762
-5.73586793,2.63074021,0.07800978,0.00000000,0.01040866,1.96938037,1.54862887,1.05862369
-5.72986493,2.61451343,0.07700638,0.00000000,0.01070212,1.96066605,1.53917658,1.05315444
-5.72386193,2.59763667,0.07598788,0.00000000,0.01100436,1.95123125,1.52903809,1.04701971
-5.71785893,2.57985741,0.07495044,0.00000000,0.01131122,1.94084845,1.51810545,1.04014394
-5.71185593,2.56099726,0.07389452,0.00000000,0.01161971,1.92934359,1.50631247,1.03248217
-5.70585293,2.54096722,0.07282540,0.00000000,0.01192814,1.91660769,1.49364154,1.02402440
-5.69984992,2.51977810,0.07175353,0.00000000,0.01223626,1.90260510,1.48012780,1.01479820
-5.69384692,2.49754566,0.07069450,0.00000000,0.01254523,1.88737783,1.46586040,1.00486932
-5.68784392,2.47448994,0.06966881,0.00000000,0.01285768,1.87104589,1.45098074,0.99434039
-5.68184092,2.45092891,0.06870133,0.00000000,0.01317757,1.85380340,1.43567799,0.98334755
-5.67583792,2.42726671,0.06782055,0.00000000,0.01351006,1.83591093,1.42018184,0.97205540
-5.66983492,2.40397695,0.06705758,0.00000000,0.01386130,1.81768420,1.40475319,0.96065037
-5.66383192,2.38158202,0.06644506,0.00000000,0.01423813,1.79947989,1.38967310,0.94933289
-5.65782891,2.36062930,0.06601585,0.00000000,0.01464777,1.78167923,1.37523068,0.93830874
-5.65182591,2.34166568,0.06580182,0.00000000,0.01509740,1.76467029,1.36171066,0.92778011
-5.64582291,2.32521153,0.06583250,0.00000000,0.01559379,1.74882981,1.34938122,0.91793667
-5.63981991,2.31173547,0.06613394,0.00000000,0.01614288,1.73450555,1.33848273,0.90894725
-5.63381691,2.30163136,0.06672755,0.00000000,0.01674932,1.72200014,1.32921811,0.90095253
-5.62781391,2.29519848,0.06762921,0.00000000,0.01741614,1.71155712,1.32174516,0.89405897
-5.62181091,2.29262606,0.06884855,0.00000000,0.01814435,1.70334993,1.31617119,0.88833452
-5.61580790,2.29398271,0.07038841,0.00000000,0.01893271,1.69747436,1.31255027,0.88380599
-5.60980490,2.29921137,0.07224459,0.00000000,0.01977753,1.69394467,1.31088294,0.88045849
-5.60380190,2.30812977,0.07440578,0.00000000,0.02067252,1.69269366,1.31111843,0.87823666
-5.59779890,2.32043635,0.07685379,0.00000000,0.02160886,1.69357632,1.31315895,0.87704774
-5.59179590,2.33572123,0.07956389,0.00000000,0.02257527,1.69637693,1.31686576,0.87676625
-5.58579290,2.35348134,0.08250538,0.00000000,0.02355826,1.70081899,1.32206651,0.87723984
-5.57978989,2.37313907,0.08564231,0.00000000,0.02454243,1.70657742,1.32856324,0.87829616
-5.57378689,2.39406320,0.08893426,0.00000000,0.02551091,1.71329227,1.33614065,0.87975028
-5.56778389,2.41559104,0.09233724,0.00000000,0.02644583,1.72058307,1.34457397,0.88141219
-5.56178089,2.43705079,0.09580458,0.00000000,0.02732888,1.72806323,1.35363610,0.88309410
-5.55577789,2.45778283,0.09928784,0.00000000,0.02814187,1.73535363,1.36310354,0.88461714
-5.54977489,2.47715919,0.10273769,0.00000000,0.02886732,1.74209481,1.37276110,0.88581714
-5.54377189,2.49460042,0.10610476,0.00000000,0.02948904,1.74795729,1.38240500,0.88654929
-5.53776888,2.50958924,0.10934044,0.00000000,0.02999262,1.75264970,1.39184460,0.88669156
-5.53176588,2.52168069,0.11239755,0.00000000,0.03036590,1.75592445,1.40090282,0.88614678
-5.52576288,2.53050873,0.11523107,0.00000000,0.03059934,1.75758107,1.40941553,0.88484339
-5.51975988,2.53578939,0.11779869,0.00000000,0.03068628,1.75746718,1.41723010,0.88273499
-5.51375688,2.53732080,0.12006141,0.00000000,0.03062317,1.75547749,1.42420366,0.87979888
-5.50775388,2.53498059,0.12198407,0.00000000,0.03040957,1.75155122,1.43020131,0.87603378
-5.50175088,2.52872119,0.12353582,0.00000000,0.03004811,1.74566816,1.43509462,0.87145690
-5.49574787,2.51856379,0.12469063,0.00000000,0.02954442,1.73784407,1.43876074,0.86610083
-5.48974487,2.50459141,0.12542775,0.00000000,0.02890681,1.72812573,1.44108238,0.86001021
-5.48374187,2.48694182,0.12573218,0.00000000,0.02814606,1.71658605,1.44194862,0.85323871
-5.47773887,2.46580074,0.12559507,0.00000000,0.02727501,1.70331962,1.44125679,0.84584628
-5.47173587,2.44139576,0.12501410,0.00000000,0.02630819,1.68843896,1.43891511,0.83789690
-5.46573287,2.41399109,0.12399390,0.00000000,0.02526141,1.67207155,1.43484608,0.82945702
-5.45972986,2.38388350,0.12254622,0.00000000,0.02415139,1.65435782,1.42899035,0.82059446
-5.45372686,2.35139916,0.12069016,0.00000000,0.02299531,1.63544989,1.42131070,0.81137806
-5.44772386,2.31689138,0.11845219,0.00000000,0.02181051,1.61551115,1.41179582,0.80187773
-5.44172086,2.28073904,0.11586605,0.00000000,0.02061411,1.59471629,1.40046374,0.79216502
-5.43571786,2.24334525,0.11297251,0.00000000,0.01942280,1.57325167,1.38736431,0.78231388
-5.42971486,2.20513595,0.10981889,0.00000000,0.01825254,1.55131576,1.37258080,0.77240156
-5.42371186,2.16655814,0.10645845,0.00000000,0.01711842,1.52911924,1.35623009,0.76250947
-5.41770885,2.12807725,0.10294954,0.00000000,0.01603449,1.50688478,1.33846171,0.75272382
-5.41170585,2.09017346,0.09935459,0.00000000,0.01501369,1.48484595,1.31945530,0.74313587
-5.40570285,2.05333660,0.09573893,0.00000000,0.01406773,1.46324534,1.29941689,0.73384170
-5.39969985,2.01805958,0.09216940,0.00000000,0.01320708,1.44233161,1.27857375,0.72494148
-5.39369685,1.98483017,0.08871289,0.00000000,0.01244088,1.42235546,1.25716834,0.71653796
-5.38769385,1.95412120,0.08543481,0.00000000,0.01177696,1.40356456,1.23545125,0.70873444
-5.38169085,1.92637931,0.08239741,0.00000000,0.01122177,1.38619729,1.21367362,0.70163201
-5.37568784,1.90201247,0.07965818,0.00000000,0.01078033,1.37047576,1.19207921,0.69532625
-5.36968484,1.88137657,0.07726827,0.00000000,0.01045620,1.35659796,1.17089644,0.68990338
-5.36368184,1.86476151,0.07527095,0.00000000,0.01025141,1.34472953,1.15033066,0.68543611
-5.35767884,1.85237741,0.07370030,0.00000000,0.01016639,1.33499525,1.13055696,0.68197926
-5.35167584,1.84434130,0.07257999,0.00000000,0.01019987,1.32747084,1.11171375,0.67956535
-5.34567284,1.84066512,0.07192237,0.00000000,0.01034885,1.32217517,1.09389742,0.67820041
-5.33966983,1.84124556,0.07172777,0.00000000,0.01060850,1.31906358,1.07715814,0.67786023
-5.33366683,1.84585646,0.07198417,0.00000000,0.01097213,1.31802243,1.06149715,0.67848726
-5.32766383,1.85414438,0.07266715,0.00000000,0.01143118,1.31886561,1.04686555,0.67998834
-5.32166083,1.86562794,0.07374026,0.00000000,0.01197520,1.32133304,1.03316472,0.68223363
-5.31565783,1.87970129,0.07515569,0.00000000,0.01259199,1.32509177,1.02024848,0.68505671
-5.30965483,1.89564216,0.07685536,0.00000000,0.01326767,1.32973977,1.00792689,0.68825618
-5.30365183,1.91262454,0.07877232,0.00000000,0.01398686,1.33481247,0.99597170,0.69159870
-5.29764882,1.92973599,0.08083249,0.00000000,0.01473297,1.33979233,0.98412333,0.69482351
-5.29164582,1.94599929,0.08295665,0.00000000,0.01548845,1.34412099,0.97209916,0.69764852
-5.28564282,1.96039787,0.08506268,0.00000000,0.01623519,1.34721397,0.95960296,0.69977759
-5.27963982,1.97190437,0.08706787,0.00000000,0.01695489,1.34847736,0.94633510,0.70090897
-5.27363682,1.97951134,0.08889143,0.00000000,0.01762953,1.34732609,0.93200320,0.70074464
-5.26763382,1.98226295,0.09045682,0.00000000,0.01824183,1.34320291,0.91633293,0.69899998
-5.26163082,1.97928655,0.09169412,0.00000000,0.01877568,1.33559762,0.89907839,0.69541370
-5.25562781,1.96982270,0.09254215,0.00000000,0.01921663,1.32406542,0.88003188,0.68975737
-5.24962481,1.95325249,0.09295025,0.00000000,0.01955227,1.30824391,0.85903243,0.68184420
-5.24362181,1.92912082,0.09287988,0.00000000,0.01977262,1.28786773,0.83597291,0.67153674
-5.23761881,1.89715476,0.09230565,0.00000000,0.01987039,1.26278027,0.81080540,0.65875307
-5.23161581,1.85727601,0.09121602,0.00000000,0.01984120,1.23294195,0.78354447,0.64347116
-5.22561281,1.80960690,0.08961350,0.00000000,0.01968371,1.19843451,0.75426841,0.62573130
-5.21960980,1.75446979,0.08751441,0.00000000,0.01939963,1.15946130,0.72311821,0.60563633
-5.21360680,1.69237978,0.08494814,0.00000000,0.01899363,1.11634345,0.69029452,0.58334981
-5.20760380,1.62403111,0.08195610,0.00000000,0.01847317,1.06951207,0.65605256,0.55909209
-5.20160080,1.55027801,0.07859026,0.00000000,0.01784824,1.01949698,0.62069535,0.53313457
-5.19559780,1.47211073,0.07491141,0.00000000,0.01713101,0.96691237,0.58456556,0.50579229
-5.18959480,1.39062805,0.07098730,0.00000000,0.01633546,0.91244014,0.54803629,0.47741531
-5.18359180,1.30700723,0.06689058,0.00000000,0.01547691,0.85681156,0.51150127,0.44837924
-5.17758879,1.22247287,0.06269679,0.00000000,0.01457158,0.80078816,0.47536473,0.41907524
-5.17158579,1.13826587,0.05848232,0.00000000,0.01363610,0.74514247,0.44003154,0.38989996
-5.16558279,1.05561351,0.05432257,0.00000000,0.01268711,0.69063948,0.40589781,0.36124582
-5.15957979,0.97570177,0.05029026,0.00000000,0.01174079,0.63801927,0.37334224,0.33349192
-5.15357679,0.89965065,0.04645393,0.00000000,0.01081253,0.58798146,0.34271860,0.30699587
-5.14757379,0.82849301,0.04287675,0.00000000,0.00991660,0.54117182,0.31434933,0.28208670
-5.14157079,0.76315724,0.03961553,0.00000000,0.00906588,0.49817121,0.28852040,0.25905908
-5.13556778,0.70445396,0.03672001,0.00000000,0.00827169,0.45948695,0.26547746,0.23816886
-5.12956478,0.65306651,0.03423242,0.00000000,0.00754367,0.42554660,0.24542319,0.21962978
-5.12356178,0.60954504,0.03218716,0.00000000,0.00688968,0.39669403,0.22851574,0.20361155
-5.11755878,0.57430376,0.03061078,0.00000000,0.00631584,0.37318733,0.21486810,0.19023895
-5.11155578,0.54762078,0.02952197,0.00000000,0.00582656,0.35519860,0.20454827,0.17959187
-5.10555278,0.52964024,0.02893177,0.00000000,0.00542459,0.34281499,0.19758008,0.17170620
-5.09954977,0.52037592,0.02884376,0.00000000,0.00511113,0.33604093,0.19394438,0.16657530
-5.09354677,0.51971626,0.02925433,0.00000000,0.00488599,0.33480106,0.19358061,0.16415195
-5.08754377,0.52743008,0.03015297,0.00000000,0.00474769,0.33894388,0.19638856,0.16435072
-5.08154077,0.54317298,0.03152254,0.00000000,0.00469360,0.34824574,0.20223032,0.16705052
-5.07553777,0.56649428,0.03333956,0.00000000,0.00472009,0.36241525,0.21093232,0.17209735
-5.06953477,0.59684433,0.03557454,0.00000000,0.00482265,0.38109797,0.22228752,0.17930729
-5.06353177,0.63358236,0.03819220,0.00000000,0.00499599,0.40388152,0.23605775,0.18846955
-5.05752876,0.67598496,0.04115190,0.00000000,0.00523418,0.43030103,0.25197634,0.19934970
-5.05152576,0.72325540,0.04440796,0.00000000,0.00553071,0.45984523,0.26975102,0.21169315
-5.04552276,0.77453386,0.04791016,0.00000000,0.00587859,0.49196308,0.28906717,0.22522880
-5.03951976,0.82890873,0.05160430,0.00000000,0.00627042,0.52607112,0.30959156,0.23967290
-5.03351676,0.88542921,0.05543280,0.00000000,0.00669847,0.56156157,0.33097652,0.25473321
-5.02751376,0.94311896,0.05933555,0.00000000,0.00715475,0.59781118,0.35286459,0.27011340
-5.02151076,1.00099098,0.06325072,0.00000000,0.00763111,0.63419075,0.37489371,0.28551761
-5.01550775,1.05806338,0.06711585,0.00000000,0.00811924,0.67007528,0.39670273,0.30065514
-5.00950475,1.11337585,0.07086889,0.00000000,0.00861086,0.70485439,0.41793726,0.31524533
-5.00350175,1.16600647,0.07444942,0.00000000,0.00909771,0.73794310,0.43825582,0.32902219
-4.99749875,1.21508842,0.07779988,0.00000000,0.00957173,0.76879234,0.45733586,0.34173908
-4.99149575,1.25982613,0.08086681,0.00000000,0.01002511,0.79689919,0.47487989,0.35317296
-4.98549275,1.29951044,0.08360208,0.00000000,0.01045042,0.82181636,0.49062113,0.36312831
-4.97948974,1.33353221,0.08596405,0.00000000,0.01084071,0.84316069,0.50432876,0.37144047
-4.97348674,1.36139389,0.08791860,0.00000000,0.01118966,0.86062039,0.51581258,0.37797836
-4.96748374,1.38271882,0.08943998,0.00000000,0.01149163,0.87396063,0.52492672,0.38264646
-4.96148074,1.39725763,0.09051153,0.00000000,0.01174182,0.88302749,0.53157249,0.38538597
-4.95547774,1.40489177,0.09112610,0.00000000,0.01193632,0.88774995,0.53570007,0.38617515
-4.94947474,1.40563381,0.09128622,0.00000000,0.01207221,0.88813981,0.53730912,0.38502877
-4.94347174,1.39962454,0.09100399,0.00000000,0.01214760,0.88428968,0.53644806,0.38199672
-4.93746873,1.38712683,0.09030067,0.00000000,0.01216168,0.87636892,0.53321216,0.37716183
-4.93146573,1.36851659,0.08920599,0.00000000,0.01211473,0.86461767,0.52774046,0.37063693
-4.92546273,1.34427087,0.08775723,0.00000000,0.01200811,0.84933918,0.52021153,0.36256124
-4.91945973,1.31495356,0.08599791,0.00000000,0.01184419,0.83089068,0.51083819,0.35309630
-4.91345673,1.28119915,0.08397648,0.00000000,0.01162633,0.80967298,0.49986138,0.34242139
-4.90745373,1.24369494,0.08174466,0.00000000,0.01135876,0.78611922,0.48754337,0.33072870
-4.90145073,1.20316243,0.07935581,0.00000000,0.01104646,0.76068303,0.47416052,0.31821839
-4.89544772,1.16033825,0.07686321,0.00000000,0.01069504,0.73382657,0.45999572,0.30509365
-4.88944472,1.11595544,0.07431834,0.00000000,0.01031060,0.70600872,0.44533100,0.29155584
-4.88344172,1.07072553,0.07176938,0.00000000,0.00989953,0.67767387,0.43044025,0.27779999
-4.87743872,1.02532207,0.06925971,0.00000000,0.00946842,0.64924162,0.41558261,0.26401069
-4.87143572,0.98036607,0.06682679,0.00000000,0.00902382,0.62109772,0.40099647,0.25035843
-4.86543272,0.93641371,0.06450121,0.00000000,0.00857214,0.59358645,0.38689452,0.23699662
-4.85942971,0.89394684,0.06230614,0.00000000,0.00811949,0.56700478,0.37345979,0.22405920
-4.85342671,0.85336631,0.06025701,0.00000000,0.00767152,0.54159829,0.36084293,0.21165901
-4.84742371,0.81498830,0.05836168,0.00000000,0.00723339,0.51755895,0.34916071,0.19988687
-4.84142071,0.77904364,0.05662085,0.00000000,0.00680960,0.49502489,0.33849577,0.18881132
-4.83541771,0.74567996,0.05502882,0.00000000,0.00640399,0.47408176,0.32889754,0.17847909
-4.82941471,0.71496646,0.05357456,0.00000000,0.00601968,0.45476584,0.32038417,0.16891616
-4.82341171,0.68690079,0.05224297,0.00000000,0.00565904,0.43706838,0.31294540,0.16012932
-4.81740870,0.66141777,0.05101638,0.00000000,0.00532376,0.42094111,0.30654612,0.15210820
-4.81140570,0.63839942,0.04987608,0.00000000,0.00501481,0.40630247,0.30113034,0.14482759
-4.80540270,0.61768567,0.04880393,0.00000000,0.00473253,0.39304429,0.29662551,0.13824998
-4.79939970,0.59908539,0.04778392,0.00000000,0.00447669,0.38103856,0.29294681,0.13232821
-4.79339670,0.58238712,0.04680362,0.00000000,0.00424656,0.37014403,0.29000128,0.12700807
-4.78739370,0.56736922,0.04585541,0.00000000,0.00404096,0.36021238,0.28769162,0.12223084
-4.78139070,0.55380894,0.04493758,0.00000000,0.00385839,0.35109366,0.28591952,0.11793561
-4.77538769,0.54149021,0.04405506,0.00000000,0.00369707,0.34264101,0.28458845,0.11406135
-4.76938469,0.53021010,0.04321985,0.00000000,0.00355504,0.33471441,0.28360585,0.11054871
-4.76338169,0.51978366,0.04245123,0.00000000,0.00343024,0.32718354,0.28288476,0.10734151
-4.75737869,0.51004736,0.04177550,0.00000000,0.00332057,0.31992976,0.28234496,0.10438785
-4.75137569,0.50086112,0.04122549,0.00000000,0.00322392,0.31284732,0.28191353,0.10164100
-4.74537269,0.49210916,0.04083974,0.00000000,0.00313829,0.30584384,0.28152525,0.09905997
-4.73936968,0.48369982,0.04066144,0.00000000,0.00306177,0.29884030,0.28112261,0.09660977
-4.73336668,0.47556454,0.04073710,0.00000000,0.00299263,0.29177073,0.28065576,0.09426158
-4.72736368,0.46765636,0.04111507,0.00000000,0.00292932,0.28458153,0.28008235,0.09199261
-4.72136068,0.45994788,0.04184393,0.00000000,0.00287047,0.27723083,0.27936748,0.08978593
-4.71535768,0.45242916,0.04297076,0.00000000,0.00281497,0.26968778,0.27848360,0.08763010
-4.70935468,0.44510537,0.04453947,0.00000000,0.00276193,0.26193200,0.27741055,0.08551881
-4.70335168,0.43799451,0.04658907,0.00000000,0.00271066,0.25395302,0.27613565,0.08345039
-4.69734867,0.43112514,0.04915211,0.00000000,0.00266074,0.24574992,0.27465377,0.08142726
-4.69134567,0.42453410,0.05225317,0.00000000,0.00261194,0.23733105,0.27296737,0.07945540
-4.68534267,0.41826429,0.05590766,0.00000000,0.00256423,0.22871368,0.27108643,0.07754375
-4.67933967,0.41236241,0.06012067,0.00000000,0.00251774,0.21992365,0.26902815,0.07570351
-4.67333667,0.40687665,0.06488623,0.00000000,0.00247278,0.21099499,0.26681650,0.07394752
-4.66733367,0.40185435,0.07018676,0.00000000,0.00242973,0.20196917,0.26448134,0.07228952
-4.66133067,0.39733956,0.07599283,0.00000000,0.00238908,0.19289433,0.26205739,0.07074342
-4.65532766,0.39337056,0.08226327,0.00000000,0.00235134,0.18382407,0.25958275,0.06932256
-4.64932466,0.38997737,0.08894551,0.00000000,0.00231704,0.17481613,0.25709725,0.06803900
-4.64332166,0.38717937,0.09597629,0.00000000,0.00228666,0.16593074,0.25464055,0.06690276
-4.63731866,0.38498306,0.10328259,0.00000000,0.00226060,0.15722883,0.25225007,0.06592125
-4.63131566,0.38338010,0.11078287,0.00000000,0.00223916,0.14877012,0.24995899,0.06509862
-4.62531266,0.38234576,0.11838845,0.00000000,0.00222252,0.14061121,0.24779426,0.06443539
-4.61930965,0.38183792,0.12600517,0.00000000,0.00221069,0.13280368,0.24577479,0.06392804
-4.61330665,0.38179659,0.13353509,0.00000000,0.00220350,0.12539243,0.24391006,0.06356894
-4.60730365,0.38214426,0.14087841,0.00000000,0.00220062,0.11841426,0.24219898,0.06334628
-4.60130065,0.38278694,0.14793533,0.00000000,0.00220152,0.11189677,0.24062940,0.06324436
-4.59529765,0.38361603,0.15460797,0.00000000,0.00220552,0.10585772,0.23917805,0.06324390
-4.58929465,0.38451098,0.16080235,0.00000000,0.00221177,0.10030478,0.23781111,0.06332271
-4.58329165,0.38534270,0.16643016,0.00000000,0.00221929,0.09523579,0.23648537,0.06345638
-4.57728864,0.38597761,0.17141058,0.00000000,0.00222703,0.09063945,0.23514993,0.06361926
-4.57128564,0.38628230,0.17567194,0.00000000,0.00223383,0.08649644,0.23374838,0.06378551
-4.56528264,0.38612855,0.17915320,0.00000000,0.00223853,0.08278092,0.23222148,0.06393021
-4.55927964,0.38539856,0.18180534,0.00000000,0.00224000,0.07946228,0.23051010,0.06403065
-4.55327664,0.38399035,0.18359251,0.00000000,0.00223713,0.07650716,0.22855835,0.06406748
-4.54727364,0.38182282,0.18449301,0.00000000,0.00222894,0.07388148,0.22631687,0.06402596
-4.54127064,0.37884053,0.18450000,0.00000000,0.00221458,0.07155256,0.22374592,0.06389707
-4.53526763,0.37501790,0.18362200,0.00000000,0.00219336,0.06949106,0.22081833,0.06367843
-4.52926463,0.37036252,0.18188308,0.00000000,0.00216477,0.06767281,0.21752212,0.06337518
-4.52326163,0.36491755,0.17932274,0.00000000,0.00212855,0.06608022,0.21386247,0.06300048
-4.51725863,0.35876290,0.17599549,0.00000000,0.00208464,0.06470345,0.20986328,0.06257584
-4.51125563,0.35201518,0.17197004,0.00000000,0.00203322,0.06354107,0.20556779,0.06213111
-4.50525263,0.34482623,0.16732819,0.00000000,0.00197469,0.06260026,0.20103860,0.06170415
-4.49924962,0.33738022,0.16216333,0.00000000,0.00190967,0.06189658,0.19635673,0.06134012
-4.49324662,0.32988932,0.15657856,0.00000000,0.00183896,0.06145317,0.19161983,0.06109047
-4.48724362,0.32258806,0.15068453,0.00000000,0.00176352,0.06129947,0.18693962,0.06101155
-4.48124062,0.31572639,0.14459702,0.00000000,0.00168445,0.06146964,0.18243850,0.06116291
-4.47523762,0.30956168,0.13843413,0.00000000,0.00160294,0.06200042,0.17824550,0.06160531
-4.46923462,0.30434994,0.13231353,0.00000000,0.00152023,0.06292884,0.17449165,0.06239847
-4.46323162,0.30033636,0.12634937,0.00000000,0.00143757,0.06428966,0.17130501,0.06359869
-4.45722861,0.29774577,0.12064940,0.00000000,0.00135615,0.06611277,0.16880542,0.06525638
-4.45122561,0.29677307,0.11531202,0.00000000,0.00127714,0.06842056,0.16709931,0.06741347
-4.44522261,0.29757426,0.11042364,0.00000000,0.00120156,0.07122543,0.16627468,0.07010108
-4.43921961,0.30025828,0.10605623,0.00000000,0.00113032,0.07452765,0.16639651,0.07333724
-4.43321661,0.30488014,0.10226534,0.00000000,0.00106414,0.07831353,0.16750280,0.07712501
-4.42721361,0.31143553,0.09908855,0.00000000,0.00100358,0.08255403,0.16960150,0.08145088
-4.42121061,0.31985746,0.09654440,0.00000000,0.00094901,0.08720409,0.17266836,0.08628378
-4.41520760,0.33001487,0.09463201,0.00000000,0.00090060,0.09220243,0.17664597,0.09157461
-4.40920460,0.34171362,0.09333122,0.00000000,0.00085832,0.09747217,0.18144401,0.09725635
-4.40320160,0.35469979,0.09260339,0.00000000,0.00082198,0.10292207,0.18694074,0.10324491
-4.39719860,0.36866529,0.09239283,0.00000000,0.00079121,0.10844845,0.19298582,0.10944065
-4.39119560,0.38325573,0.09262869,0.00000000,0.00076552,0.11393778,0.19940419,0.11573053
-4.38519260,0.39808024,0.09322748,0.00000000,0.00074426,0.11926976,0.20600112,0.12199088
-4.37918959,0.41272290,0.09409592,0.00000000,0.00072674,0.12432087,0.21256813,0.12809074
-4.37318659,0.42675550,0.09513407,0.00000000,0.00071219,0.12896813,0.21888949,0.13389557
-4.36718359,0.43975102,0.09623875,0.00000000,0.00069981,0.13309311,0.22474920,0.13927129
-4.36118059,0.45129731,0.09730695,0.00000000,0.00068882,0.13658581,0.22993812,0.14408844
-4.35517759,0.46101051,0.09823918,0.00000000,0.00067845,0.13934833,0.23426085,0.14822627
-4.34917459,0.46854757,0.09894268,0.00000000,0.00066801,0.14129824,0.23754221,0.15157668
-4.34317159,0.47361734,0.09933429,0.00000000,0.00065687,0.14237134,0.23963299,0.15404777
-4.33716858,0.47598985,0.09934288,0.00000000,0.00064450,0.14252380,0.24041474,0.15556681
-4.33116558,0.47550331,0.09891135,0.00000000,0.00063048,0.14173361,0.23980333,0.15608264
-4.32516258,0.47206859,0.09799800,0.00000000,0.00061450,0.14000109,0.23775135,0.15556721
-4.31915958,0.46567105,0.09657734,0.00000000,0.00059636,0.13734872,0.23424895,0.15401637
-4.31315658,0.45636963,0.09464029,0.00000000,0.00057600,0.13382008,0.22932349,0.15144975
-4.30715358,0.44429326,0.09219374,0.00000000,0.00055344,0.12947806,0.22303763,0.14790983
-4.30115058,0.42963502,0.08925957,0.00000000,0.00052881,0.12440245,0.21548643,0.14346020
