energy_ev,total_up,B_p_up,B_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,3.30678842,0.09758325,0.00000000,0.48907653,1.68546349,0.04450292,0.60895731
-5.99399700,3.25701632,0.09716496,0.00000000,0.48117067,1.65238289,0.04529582,0.60380211
-5.98799400,3.20403182,0.09653959,0.00000000,0.47264689,1.61809697,0.04614521,0.59772093
-5.98199100,3.14830761,0.09572894,0.00000000,0.46357825,1.58282173,0.04705079,0.59078008
-5.97598799,3.09037092,0.09475910,0.00000000,0.45404777,1.54679127,0.04801093,0.58306262
-5.96998499,3.03079261,0.09365967,0.00000000,0.44414716,1.51025263,0.04902250,0.57466690
-5.96398199,2.97017396,0.09246292,0.00000000,0.43397509,1.47345987,0.05008069,0.56570464
-5.95797899,2.90913207,0.09120281,0.00000000,0.42363511,1.43666794,0.05117888,0.55629862
-5.95197599,2.84828475,0.08991392,0.00000000,0.41323339,1.40012675,0.05230861,0.54658015
-5.94597299,2.78823579,0.08863043,0.00000000,0.40287631,1.36407573,0.05345951,0.53668659
-5.93996998,2.72956163,0.08738507,0.00000000,0.39266825,1.32873939,0.05461938,0.52675893
-5.93396698,2.67280015,0.08620819,0.00000000,0.38270946,1.29432411,0.05577439,0.51693968
-5.92796398,2.61844211,0.08512699,0.00000000,0.37309444,1.26101634,0.05690929,0.50737100
-5.92196098,2.56692553,0.08416481,0.00000000,0.36391062,1.22898220,0.05800776,0.49819332
-5.91595798,2.51863328,0.08334069,0.00000000,0.35523749,1.19836848,0.05905284,0.48954417
-5.90995498,2.47389327,0.08266902,0.00000000,0.34714626,1.16930480,0.06002743,0.48155738
-5.90395198,2.43298120,0.08215951,0.00000000,0.33969985,1.14190649,0.06091481,0.47436238
-5.89794897,2.39612492,0.08181713,0.00000000,0.33295319,1.11627798,0.06169917,0.46808363
-5.89194597,2.36350978,0.08164243,0.00000000,0.32695383,1.09251613,0.06236617,0.46283982
-5.88594297,2.33528419,0.08163183,0.00000000,0.32174251,1.07071304,0.06290344,0.45874288
-5.87993997,2.31156450,0.08177807,0.00000000,0.31735386,1.05095804,0.06330097,0.45589665
-5.87393697,2.29243870,0.08207080,0.00000000,0.31381689,1.03333847,0.06355149,0.45439497
-5.86793397,2.27796839,0.08249715,0.00000000,0.31115531,1.01793900,0.06365072,0.45431940
-5.86193097,2.26818870,0.08304239,0.00000000,0.30938759,1.00483955,0.06359747,0.45573640
-5.85592796,2.26310627,0.08369058,0.00000000,0.30852676,0.99411167,0.06339370,0.45869414
-5.84992496,2.26269545,0.08442524,0.00000000,0.30857991,0.98581378,0.06304442,0.46321909
-5.84392196,2.26689307,0.08523001,0.00000000,0.30954753,0.97998539,0.06255755,0.46931254
-5.83791896,2.27559245,0.08608928,0.00000000,0.31142266,0.97664082,0.06194365,0.47694732
-5.83191596,2.28863729,0.08698876,0.00000000,0.31418999,0.97576295,0.06121564,0.48606494
-5.82591296,2.30581618,0.08791606,0.00000000,0.31782503,0.97729722,0.06038845,0.49657346
-5.81990995,2.32685833,0.08886117,0.00000000,0.32229338,0.98114673,0.05947871,0.50834623
-5.81390695,2.35143122,0.08981685,0.00000000,0.32755028,0.98716852,0.05850436,0.52122177
-5.80790395,2.37914053,0.09077899,0.00000000,0.33354045,0.99517160,0.05748434,0.53500490
-5.80190095,2.40953250,0.09174677,0.00000000,0.34019821,1.00491689,0.05643827,0.54946918
-5.79589795,2.44209900,0.09272284,0.00000000,0.34744802,1.01611906,0.05538616,0.56436070
-5.78989495,2.47628486,0.09371316,0.00000000,0.35520541,1.02845056,0.05434816,0.57940305
-5.78389195,2.51149729,0.09472688,0.00000000,0.36337808,1.04154731,0.05334426,0.59430349
-5.77788894,2.54711687,0.09577588,0.00000000,0.37186739,1.05501618,0.05239406,0.60875983
-5.77188594,2.58250944,0.09687429,0.00000000,0.38056994,1.06844371,0.05151648,0.62246809
-5.76588294,2.61703833,0.09803772,0.00000000,0.38937926,1.08140571,0.05072952,0.63513031
-5.75987994,2.65007625,0.09928241,0.00000000,0.39818746,1.09347747,0.05004988,0.64646240
-5.75387694,2.68101625,0.10062422,0.00000000,0.40688682,1.10424390,0.04949262,0.65620166
-5.74787394,2.70928128,0.10207752,0.00000000,0.41537124,1.11330949,0.04907080,0.66411357
-5.74187094,2.73433207,0.10365406,0.00000000,0.42353738,1.12030740,0.04879502,0.66999773
-5.73586793,2.75567296,0.10536176,0.00000000,0.43128564,1.12490771,0.04867299,0.67369264
-5.72986493,2.77285582,0.10720363,0.00000000,0.43852086,1.12682424,0.04870909,0.67507910
-5.72386193,2.78548206,0.10917675,0.00000000,0.44515274,1.12582006,0.04890396,0.67408233
-5.71785893,2.79320297,0.11127141,0.00000000,0.45109611,1.12171140,0.04925411,0.67067257
-5.71185593,2.79571877,0.11347052,0.00000000,0.45627099,1.11436998,0.04975164,0.66486430
-5.70585293,2.79277679,0.11574922,0.00000000,0.46060259,1.10372386,0.05038403,0.65671420
-5.69984992,2.78416911,0.11807486,0.00000000,0.46402126,1.08975682,0.05113414,0.64631794
-5.69384692,2.76973030,0.12040723,0.00000000,0.46646257,1.07250641,0.05198026,0.63380599
-5.68784392,2.74933545,0.12269928,0.00000000,0.46786738,1.05206087,0.05289642,0.61933877
-5.68184092,2.72289906,0.12489798,0.00000000,0.46818226,1.02855514,0.05385283,0.60310126
-5.67583792,2.69037478,0.12694570,0.00000000,0.46735998,1.00216600,0.05481655,0.58529736
-5.66983492,2.65175641,0.12878173,0.00000000,0.46536034,0.97310681,0.05575223,0.56614432
-5.66383192,2.60707994,0.13034410,0.00000000,0.46215117,0.94162182,0.05662314,0.54586729
-5.65782891,2.55642670,0.13157156,0.00000000,0.45770968,0.90798029,0.05739217,0.52469434
-5.65182591,2.49992727,0.13240560,0.00000000,0.45202379,0.87247073,0.05802300,0.50285201
-5.64582291,2.43776594,0.13279256,0.00000000,0.44509374,0.83539519,0.05848126,0.48056151
-5.63981991,2.37018524,0.13268556,0.00000000,0.43693358,0.79706389,0.05873572,0.45803566
-5.63381691,2.29749011,0.13204634,0.00000000,0.42757266,0.75779024,0.05875928,0.43547660
-5.62781391,2.22005125,0.13084680,0.00000000,0.41705686,0.71788624,0.05853003,0.41307415
-5.62181091,2.13830711,0.12907023,0.00000000,0.40544952,0.67765845,0.05803196,0.39100489
-5.61580790,2.05276418,0.12671217,0.00000000,0.39283197,0.63740437,0.05725562,0.36943181
-5.60980490,1.96399521,0.12378082,0.00000000,0.37930359,0.59740942,0.05619841,0.34850435
-5.60380190,1.87263502,0.12029707,0.00000000,0.36498120,0.55794426,0.05486476,0.32835885
-5.59779890,1.77937391,0.11629399,0.00000000,0.34999793,0.51926271,0.05326592,0.30911916
-5.59179590,1.68494860,0.11181597,0.00000000,0.33450147,0.48159992,0.05141965,0.29089732
-5.58579290,1.59013091,0.10691747,0.00000000,0.31865164,0.44517100,0.04934954,0.27379424
-5.57978989,1.49571446,0.10166137,0.00000000,0.30261754,0.41016990,0.04708427,0.25790026
-5.57378689,1.40249983,0.09611716,0.00000000,0.28657412,0.37676864,0.04465658,0.24329548
-5.56778389,1.31127872,0.09035889,0.00000000,0.27069853,0.34511668,0.04210227,0.23005002
-5.56178089,1.22281770,0.08446300,0.00000000,0.25516617,0.31534066,0.03945904,0.21822387
-5.55577789,1.13784229,0.07850627,0.00000000,0.24014670,0.28754425,0.03676535,0.20786674
-5.54977489,1.05702184,0.07256370,0.00000000,0.22580024,0.26180826,0.03405932,0.19901764
-5.54377189,0.98095596,0.06670666,0.00000000,0.21227363,0.23819099,0.03137774,0.19170439
-5.53776888,0.91016306,0.06100122,0.00000000,0.19969723,0.21672872,0.02875511,0.18594314
-5.53176588,0.84507127,0.05550673,0.00000000,0.18818212,0.19743654,0.02622296,0.18173789
-5.52576288,0.78601217,0.05027477,0.00000000,0.17781796,0.18030929,0.02380923,0.17908018
-5.51975988,0.73321751,0.04534841,0.00000000,0.16867142,0.16532274,0.02153785,0.17794886
-5.51375688,0.68681881,0.04076175,0.00000000,0.16078536,0.15243502,0.01942855,0.17831017
-5.50775388,0.64684988,0.03653982,0.00000000,0.15417871,0.14158814,0.01749677,0.18011800
-5.50175088,0.61325193,0.03269883,0.00000000,0.14884702,0.13270972,0.01575377,0.18331439
-5.49574787,0.58588091,0.02924655,0.00000000,0.14476362,0.12571480,0.01420688,0.18783031
-5.48974487,0.56451679,0.02618301,0.00000000,0.14188137,0.12050773,0.01285981,0.19358664
-5.48374187,0.54887413,0.02350133,0.00000000,0.14013492,0.11698407,0.01171309,0.20049530
-5.47773887,0.53861369,0.02118866,0.00000000,0.13944331,0.11503255,0.01076458,0.20846059
-5.47173587,0.53335443,0.01922725,0.00000000,0.13971297,0.11453692,0.01000995,0.21738053
-5.46573287,0.53268556,0.01759544,0.00000000,0.14084083,0.11537781,0.00944323,0.22714833
-5.45972986,0.53617828,0.01626877,0.00000000,0.14271761,0.11743442,0.00905730,0.23765384
-5.45372686,0.54339690,0.01522096,0.00000000,0.14523119,0.12058622,0.00884440,0.24878493
-5.44772386,0.55390910,0.01442485,0.00000000,0.14826983,0.12471445,0.00879658,0.26042892
-5.44172086,0.56729518,0.01385326,0.00000000,0.15172538,0.12970363,0.00890610,0.27247389
-5.43571786,0.58315633,0.01347978,0.00000000,0.15549627,0.13544286,0.00916583,0.28480997
-5.42971486,0.60112171,0.01327939,0.00000000,0.15949030,0.14182714,0.00956953,0.29733056
-5.42371186,0.62085456,0.01322903,0.00000000,0.16362711,0.14875859,0.01011221,0.30993356
-5.41770885,0.64205735,0.01330806,0.00000000,0.16784040,0.15614760,0.01079039,0.32252259
-5.41170585,0.66447594,0.01349858,0.00000000,0.17207968,0.16391388,0.01160234,0.33500821
-5.40570285,0.68790302,0.01378572,0.00000000,0.17631174,0.17198751,0.01254839,0.34730915
-5.39969985,0.71218067,0.01415777,0.00000000,0.18052158,0.18030989,0.01363112,0.35935362
-5.39369685,0.73720220,0.01460630,0.00000000,0.18471294,0.18883449,0.01485570,0.37108057
-5.38769385,0.76291324,0.01512610,0.00000000,0.18890830,0.19752758,0.01623008,0.38244093
-5.38169085,0.78931197,0.01571518,0.00000000,0.19314840,0.20636862,0.01776534,0.39339885
-5.37568784,0.81644842,0.01637457,0.00000000,0.19749119,0.21535052,0.01947582,0.40393272
-5.36968484,0.84442276,0.01710814,0.00000000,0.20201036,0.22447951,0.02137944,0.41403607
-5.36368184,0.87338230,0.01792231,0.00000000,0.20679327,0.23377465,0.02349776,0.42371805
-5.35767884,0.90351729,0.01882572,0.00000000,0.21193845,0.24326698,0.02585605,0.43300367
-5.35167584,0.93505514,0.01982882,0.00000000,0.21755272,0.25299815,0.02848324,0.44193340
-5.34567284,0.96825315,0.02094343,0.00000000,0.22374789,0.26301863,0.03141163,0.45056230
-5.33966983,1.00338966,0.02218226,0.00000000,0.23063716,0.27338543,0.03467643,0.45895853
-5.33366683,1.04075360,0.02355832,0.00000000,0.23833147,0.28415939,0.03831512,0.46720110
-5.32766383,1.08063278,0.02508442,0.00000000,0.24693557,0.29540207,0.04236644,0.47537705
-5.32166083,1.12330092,0.02677252,0.00000000,0.25654430,0.30717244,0.04686921,0.48357800
-5.31565783,1.16900391,0.02863318,0.00000000,0.26723892,0.31952323,0.05186080,0.49189609
-5.30965483,1.21794574,0.03067498,0.00000000,0.27908379,0.33249744,0.05737536,0.50041957
-5.30365183,1.27027447,0.03290393,0.00000000,0.29212337,0.34612483,0.06344189,0.50922813
-5.29764882,1.32606904,0.03532304,0.00000000,0.30637975,0.36041872,0.07008202,0.51838818
-5.29164582,1.38532726,0.03793182,0.00000000,0.32185081,0.37537326,0.07730786,0.52794828
-5.28564282,1.44795583,0.04072595,0.00000000,0.33850889,0.39096130,0.08511972,0.53793497
-5.27963982,1.51376264,0.04369702,0.00000000,0.35630025,0.40713288,0.09350409,0.54834928
-5.27363682,1.58245213,0.04683235,0.00000000,0.37514515,0.42381462,0.10243174,0.55916406
-5.26763382,1.65362378,0.05011498,0.00000000,0.39493863,0.44090992,0.11185634,0.57032229
-5.26163082,1.72677412,0.05352372,0.00000000,0.41555179,0.45830002,0.12171344,0.58173662
-5.25562781,1.80130228,0.05703334,0.00000000,0.43683370,0.47584584,0.13192022,0.59329009
-5.24962481,1.87651896,0.06061491,0.00000000,0.45861373,0.49339065,0.14237582,0.60483817
-5.24362181,1.95165862,0.06423617,0.00000000,0.48070410,0.51076327,0.15296257,0.61621196
-5.23761881,2.02589443,0.06786208,0.00000000,0.50290282,0.52778178,0.16354798,0.62722252
-5.23161581,2.09835566,0.07145538,0.00000000,0.52499666,0.54425751,0.17398755,0.63766621
-5.22561281,2.16814679,0.07497726,0.00000000,0.54676419,0.55999920,0.18412842,0.64733069
-5.21960980,2.23436783,0.07838808,0.00000000,0.56797886,0.57481716,0.19381360,0.65600157
-5.21360680,2.29613524,0.08164811,0.00000000,0.58841209,0.58852723,0.20288691,0.66346921
-5.20760380,2.35260294,0.08471828,0.00000000,0.60783626,0.60095453,0.21119816,0.66953563
-5.20160080,2.40298285,0.08756101,0.00000000,0.62602780,0.61193688,0.21860867,0.67402123
-5.19559780,2.44656456,0.09014092,0.00000000,0.64277033,0.62132786,0.22499677,0.67677094
